id,title,genre,description
24,Midnight Waltz,Romance,An aspiring classical pianist and a passionate contemporary dancer find inspiration and romance in each other's artistic worlds.
25,Autumn Whispers,Romance,"Two former childhood sweethearts reunite at a wedding in a picturesque New England town, rekindling old feelings and unresolved conflicts."
26,Stargazing,Romance,A quirky astrophysicist and a free-spirited travel writer bond over a shared road trip to witness a rare meteor shower.
27,The Chef's Recipe,Romance,A high-strung gourmet chef and an easy-going food critic clash professionally but spark a passionate romance in the kitchen.
28,Chasing Sunsets,Romance,"A documentary photographer and a local tour guide explore remote tropical islands, discovering love amidst breathtaking scenery."
29,City Lights & Hearts,Romance,Two busy professionals running away from their pasts cross paths in a bustling city coffee shop and discover unexpected affection.
30,Love Notes,Romance,A music teacher helping a widowed songwriter finish his album finds herself falling in love as they write beautiful love ballads together.
31,Grandma's Wild Ride,Comedy,"A hilarious comedy about a straight-laced accountant forced to take his eccentric, filter-free grandmother on a chaotic cross-country road trip."
32,The Big Mix-Up,Comedy,"Two identical twins—one a high-profile corporate lawyer, the other a relaxed yoga instructor—swap lives for a week with disastrous, funny results."
33,Superstore Chaos,Comedy,"An ensemble workplace comedy focusing on the quirky, colorful, and downright bizarre employees working the night shift at a 24-hour hypermarket."
34,Accidental Heroes,Comedy,"Three clueless friends on a camping trip stumble into a smuggler's camp and are mistaken for elite federal agents, leading to slapstick survival."
35,Chef Disasters,Comedy,A comedy about a clumsy amateur home cook who enters a prestigious reality TV cooking competition and somehow advances through pure luck.
36,The Office Prankster,Comedy,"An office worker orchestrates increasingly elaborate and funny pranks on his grumpy boss, culminating in a corporate retreat disaster."
37,Virtual Reality Mishap,Comedy,"A gamer gets stuck in a comical, bug-ridden simulation game where they must defeat a ridiculous villain to escape back to the real world."
38,Wedding Crashers' Club,Comedy,"A group of friends make a bet to see who can crash the most high-society weddings in a single summer, leading to hilarious awkward encounters."
39,Stray Dog Shenanigans,Comedy,"A charming family comedy about a highly intelligent, mischievous stray dog who adopts a dysfunctional family and turns their lives upside down."
40,Pet Detectives,Comedy,"Two goofy pet detectives are hired to find a billionaire's missing championship parrot, leading them into a wacky criminal underworld."
41,Silent Witness,Thriller,"A deaf woman must outsmart a home intruder in a secluded forest cabin, relying on her wits and heightened senses to survive the night."
42,Fractured Minds,Thriller,"A psychological thriller about a detective investigating a murder, who begins to suspect that his own mind is playing tricks on him."
43,The Cabin,Thriller,"A group of friends spend the weekend at a remote cabin in the woods, only to find themselves hunted by a masked figure playing psychological games."
44,Double Identity,Thriller,"A mild-mannered banker discovers he shares a name and bank account with a notorious international money launderer, putting a target on his back."
45,Deep Water,Thriller,A marine researcher stranded on a sinking research platform must evade a group of hostile mercenaries looking to steal her deep-sea data.
46,The Perfect Crime,Thriller,"An meticulous art thief plans his final heist, but a relentless detective matches him step-for-step in a high-stakes psychological game of chess."
47,Missing Link,Thriller,"A journalist investigating a corporate cover-up realizes that everyone she interviews is disappearing, making her the next target."
48,Blind Spot,Thriller,"A blind programmer discovers a hidden malicious code in an autonomous car software, leading to a high-speed chase to stop a citywide disaster."
49,The Safehouse,Thriller,A government witness and a disgraced agent are trapped in a high-tech safehouse after its coordinates are leaked to assassin syndicates.
50,Gridlock,Thriller,A hostage negotiator is trapped in a massive traffic gridlock on a suspension bridge wired with explosives by an anonymous extortionist.
